,exp_stage,history,rating,rt,stim_file,stim_index,subjid,stim_repetition,labeled_price,community
0,initial_rating,"[(None, 0.0), (5.8, 6.165), (6.2, 14.011), (6.5, 15.905), (6.5, 16.727)]",6.5,16.727,,,test,,,
1,price_rating,"[(None, 0.0), (5.2, 42.151), (5.3, 42.525), (5.4, 42.593), (5.5, 42.661), (5.6, 42.728), (5.7, 42.762), (5.8, 42.78), (5.9, 42.797), (6.0, 42.815), (6.1, 42.831), (6.2, 42.848), (6.3, 42.88), (6.4, 42.897), (6.5, 42.914), (6.6, 42.931), (6.7, 42.964), (6.8, 42.982), (6.9, 42.999), (7.0, 43.034), (7.1, 43.051), (7.2, 43.068), (7.3, 43.101), (7.4, 43.135), (7.5, 43.168), (7.6, 43.202), (7.7, 43.235), (7.8, 43.252), (7.9, 43.268), (8.0, 43.302), (8.1, 43.319), (8.2, 43.336), (8.3, 43.371), (8.4, 43.388), (8.5, 43.404), (8.6, 43.453), (8.7, 43.505), (8.8, 43.539), (8.9, 43.555), (9.0, 43.589), (9.7, 44.971), (8.9, 45.494), (6.4, 45.883), (4.8, 46.371), (3.9, 46.762), (2.4, 47.695), (2.1, 48.284), (10.0, 49.332), (9.6, 50.109), (9.1, 50.597), (8.1, 51.224), (7.1, 51.913), (5.5, 52.592), (4.3, 53.132), (3.3, 53.591), (2.2, 54.049), (5.5, 54.726), (7.9, 55.335), (9.5, 56.078), (8.3, 56.805), (6.2, 57.332), (5.1, 57.756), (7.2, 58.617), (7.2, 59.174)]",7.2,59.175,images/14.png,12.0,test,1.0,,2.0
2,price_rating,"[(None, 0.0), (7.0, 4.82), (7.0, 6.627)]",7.0,6.627,images/12.png,1.0,test,1.0,7.0,0.0
3,price_rating,"[(None, 0.0), (8.3, 2.254), (8.3, 3.082)]",8.3,3.082,images/8.png,0.0,test,1.0,8.3,0.0
4,price_rating,"[(None, 0.0), (4.4, 6.818), (4.4, 7.584)]",4.4,7.584,images/2.png,3.0,test,1.0,,0.0
5,price_rating,"[(None, 0.0), (5.8, 2.487), (3.5, 4.653), (3.5, 5.305)]",3.5,5.305,images/3.png,10.0,test,1.0,3.5,2.0
6,price_rating,"[(None, 0.0), (5.1, 1.46), (5.1, 2.033)]",5.1,2.033,images/9.png,2.0,test,1.0,,0.0
7,price_rating,"[(None, 0.0), (6.0, 3.604), (4.1, 4.737), (4.8, 5.586), (4.8, 6.192)]",4.8,6.192,images/4.png,7.0,test,1.0,,1.0
8,price_rating,"[(None, 0.0), (7.4, 1.464), (6.0, 2.726), (6.0, 3.623)]",6.0,3.623,images/15.png,4.0,test,1.0,,0.0
9,price_rating,"[(None, 0.0), (5.8, 1.058), (5.1, 1.617), (5.1, 2.341)]",5.1,2.341,images/1.png,5.0,test,1.0,,1.0
10,price_rating,"[(None, 0.0), (6.5, 18.24), (6.5, 18.801)]",6.5,18.801,images/11.png,9.0,test,1.0,,1.0
11,price_rating,"[(None, 0.0), (7.1, 0.756), (7.1, 1.333)]",7.1,1.333,images/10.png,6.0,test,1.0,,1.0
12,price_rating,"[(None, 0.0), (7.1, 0.571), (7.1, 1.08)]",7.1,1.08,images/5.png,14.0,test,1.0,,2.0
13,price_rating,"[(None, 0.0), (5.8, 0.637), (5.8, 1.298)]",5.8,1.298,images/13.png,13.0,test,1.0,,2.0
14,price_rating,"[(None, 0.0), (4.2, 1.685), (4.2, 3.223)]",4.2,3.223,images/7.png,11.0,test,1.0,4.2,2.0
15,price_rating,"[(None, 0.0), (6.4, 1.109), (6.4, 1.652)]",6.4,1.652,images/6.png,8.0,test,1.0,,1.0
16,price_rating,"[(None, 0.0), (7.1, 1.355), (7.1, 1.902)]",7.1,1.902,images/12.png,1.0,test,2.0,7.0,0.0
17,price_rating,"[(None, 0.0), (7.0, 0.69), (7.0, 1.237)]",7.0,1.237,images/15.png,4.0,test,2.0,,0.0
18,price_rating,"[(None, 0.0), (8.4, 1.8), (8.4, 2.642)]",8.4,2.642,images/1.png,5.0,test,2.0,,1.0
19,price_rating,"[(None, 0.0), (3.5, 0.872), (3.5, 1.33)]",3.5,1.33,images/13.png,13.0,test,2.0,,2.0
20,price_rating,"[(None, 0.0), (4.7, 1.347), (4.7, 2.575)]",4.7,2.575,images/2.png,3.0,test,2.0,,0.0
21,price_rating,"[(None, 0.0), (4.5, 1.247), (4.5, 1.823)]",4.5,1.823,images/9.png,2.0,test,2.0,,0.0
22,price_rating,"[(None, 0.0), (6.7, 0.583), (6.7, 1.043)]",6.7,1.043,images/14.png,12.0,test,2.0,,2.0
23,price_rating,"[(None, 0.0), (8.3, 1.237), (8.3, 1.751)]",8.3,1.751,images/11.png,9.0,test,2.0,,1.0
24,price_rating,"[(None, 0.0), (3.6, 1.27), (3.6, 1.965)]",3.6,1.965,images/3.png,10.0,test,2.0,3.5,2.0
25,price_rating,"[(None, 0.0), (5.6, 3.361), (5.6, 3.923)]",5.6,3.923,images/6.png,8.0,test,2.0,,1.0
26,price_rating,"[(None, 0.0), (7.1, 1.521), (7.1, 2.061)]",7.1,2.061,images/5.png,14.0,test,2.0,,2.0
27,price_rating,"[(None, 0.0), (6.5, 0.825), (6.5, 1.418)]",6.5,1.419,images/4.png,7.0,test,2.0,,1.0
28,price_rating,"[(None, 0.0), (5.0, 0.676), (4.1, 1.643), (4.1, 2.756)]",4.1,2.756,images/7.png,11.0,test,2.0,4.2,2.0
29,price_rating,"[(None, 0.0), (7.4, 5.42), (7.4, 5.961)]",7.4,5.961,images/10.png,6.0,test,2.0,,1.0
30,price_rating,"[(None, 0.0), (8.4, 1.55), (8.4, 2.27)]",8.4,2.271,images/8.png,0.0,test,2.0,8.3,0.0
31,price_rating,"[(None, 0.0), (7.0, 1.554), (7.0, 2.116)]",7.0,2.116,images/12.png,1.0,test,3.0,7.0,0.0
32,price_rating,"[(None, 0.0), (4.2, 1.248), (4.2, 1.897)]",4.2,1.897,images/7.png,11.0,test,3.0,4.2,2.0
33,price_rating,"[(None, 0.0), (7.3, 3.512), (7.3, 4.628)]",7.3,4.628,images/14.png,12.0,test,3.0,,2.0
34,price_rating,"[(None, 0.0), (6.0, 0.797), (6.0, 1.168)]",6.0,1.168,images/4.png,7.0,test,3.0,,1.0
35,price_rating,"[(None, 0.0), (7.7, 6.457), (7.7, 6.97)]",7.7,6.97,images/11.png,9.0,test,3.0,,1.0
36,price_rating,"[(None, 0.0), (6.8, 0.567), (6.8, 0.91)]",6.8,0.91,images/5.png,14.0,test,3.0,,2.0
37,price_rating,"[(None, 0.0), (6.1, 0.403), (6.1, 0.776)]",6.1,0.776,images/13.png,13.0,test,3.0,,2.0
38,price_rating,"[(None, 0.0), (6.0, 0.373), (6.0, 0.729)]",6.0,0.729,images/6.png,8.0,test,3.0,,1.0
39,price_rating,"[(None, 0.0), (6.4, 0.318), (6.4, 0.611)]",6.4,0.611,images/15.png,4.0,test,3.0,,0.0
40,price_rating,"[(None, 0.0), (6.7, 0.278), (6.7, 0.6)]",6.7,0.6,images/10.png,6.0,test,3.0,,1.0
41,price_rating,"[(None, 0.0), (5.0, 0.369), (5.5, 0.798), (5.6, 0.815), (5.7, 0.933), (5.8, 0.95), (6.0, 0.967), (6.3, 0.985), (6.8, 1.001), (7.1, 1.018), (7.3, 1.035), (7.4, 1.052), (7.5, 1.069), (7.6, 1.086), (7.7, 1.103), (7.8, 1.12), (7.9, 1.138), (8.1, 1.154), (8.2, 1.17), (8.3, 1.188), (8.4, 1.204), (8.5, 1.223), (8.4, 1.474), (8.2, 1.491), (7.9, 1.508), (7.6, 1.525), (7.4, 1.541), (7.3, 1.575), (7.2, 1.592), (7.1, 1.608), (7.0, 1.626), (6.9, 1.642), (6.8, 1.676), (6.7, 1.71), (6.6, 1.726), (6.5, 1.743), (6.4, 1.776), (6.3, 1.793), (6.2, 1.826), (6.1, 1.843), (6.0, 1.861), (5.9, 1.878), (5.7, 1.895), (5.6, 1.911), (5.4, 1.928), (5.1, 1.945), (4.9, 1.962), (4.6, 1.98), (4.5, 1.996), (4.4, 2.013), (4.3, 2.081), (4.2, 2.115), (4.1, 2.149), (4.0, 2.183), (3.9, 2.201), (3.8, 2.334), (3.7, 2.639), (3.6, 2.656), (3.3, 2.672), (3.1, 2.689), (3.0, 2.706), (2.9, 2.723), (2.8, 2.74), (2.7, 2.756), (2.6, 2.773), (2.5, 2.79), (2.4, 2.808), (2.3, 2.908), (2.2, 2.993), (2.1, 3.028), (2.3, 3.129), (2.6, 3.146), (3.1, 3.163), (3.8, 3.18), (5.1, 3.198), (5.9, 3.214), (6.5, 3.231), (7.0, 3.248), (7.5, 3.265), (7.8, 3.283), (7.9, 3.299), (8.0, 3.317), (8.2, 3.333), (8.4, 3.35), (8.5, 3.367), (8.6, 3.434), (8.7, 3.451), (8.8, 3.485), (8.9, 3.521), (9.1, 3.537), (9.5, 3.554), (9.6, 3.571), (9.7, 3.588), (9.7, 4.092)]",9.7,4.092,images/1.png,5.0,test,3.0,,1.0
42,price_rating,"[(None, 0.0), (7.0, 0.743), (7.0, 1.726)]",7.0,1.726,images/8.png,0.0,test,3.0,8.3,0.0
43,price_rating,"[(None, 0.0), (5.9, 0.382), (5.9, 0.79)]",5.9,0.79,images/3.png,10.0,test,3.0,3.5,2.0
44,price_rating,"[(None, 0.0), (8.6, 0.438), (8.6, 0.946)]",8.6,0.946,images/9.png,2.0,test,3.0,,0.0
45,price_rating,"[(None, 0.0), (7.2, 0.44), (7.2, 0.779)]",7.2,0.779,images/2.png,3.0,test,3.0,,0.0
46,price_rating,"[(None, 0.0), (4.9, 0.469), (4.9, 0.979)]",4.9,0.979,images/2.png,3.0,test,4.0,,0.0
47,price_rating,"[(None, 0.0), (8.2, 0.556), (8.2, 1.051)]",8.2,1.051,images/8.png,0.0,test,4.0,8.3,0.0
48,price_rating,"[(None, 0.0), (6.4, 0.473), (6.4, 0.862)]",6.4,0.862,images/1.png,5.0,test,4.0,,1.0
49,price_rating,"[(None, 0.0), (3.3, 0.504), (3.3, 0.981)]",3.3,0.981,images/12.png,1.0,test,4.0,7.0,0.0
50,price_rating,"[(None, 0.0), (9.3, 0.602), (9.3, 1.112)]",9.3,1.112,images/5.png,14.0,test,4.0,,2.0
51,price_rating,"[(None, 0.0), (7.4, 0.457), (7.4, 0.935)]",7.4,0.935,images/3.png,10.0,test,4.0,3.5,2.0
52,price_rating,"[(None, 0.0), (6.6, 0.338), (6.6, 0.798)]",6.6,0.798,images/15.png,4.0,test,4.0,,0.0
53,price_rating,"[(None, 0.0), (7.1, 0.454), (7.1, 0.949)]",7.1,0.949,images/7.png,11.0,test,4.0,4.2,2.0
54,price_rating,"[(None, 0.0), (7.2, 0.489), (7.2, 1.019)]",7.2,1.019,images/6.png,8.0,test,4.0,,1.0
55,price_rating,"[(None, 0.0), (5.9, 0.452), (5.9, 0.894)]",5.9,0.894,images/14.png,12.0,test,4.0,,2.0
56,price_rating,"[(None, 0.0), (6.8, 0.521), (6.8, 0.911)]",6.8,0.911,images/10.png,6.0,test,4.0,,1.0
57,price_rating,"[(None, 0.0), (5.1, 0.439), (5.1, 0.931)]",5.1,0.931,images/11.png,9.0,test,4.0,,1.0
58,price_rating,"[(None, 0.0), (7.9, 0.509), (7.9, 0.9)]",7.9,0.9,images/4.png,7.0,test,4.0,,1.0
59,price_rating,"[(None, 0.0), (7.3, 0.588), (7.3, 0.977)]",7.3,0.977,images/9.png,2.0,test,4.0,,0.0
60,price_rating,"[(None, 0.0), (7.1, 0.424), (7.1, 0.866)]",7.1,0.866,images/13.png,13.0,test,4.0,,2.0
61,price_rating,"[(None, 0.0), (6.2, 0.456), (6.2, 0.897)]",6.2,0.897,images/12.png,1.0,test,5.0,7.0,0.0
62,price_rating,"[(None, 0.0), (6.8, 0.538), (6.8, 0.993)]",6.8,0.993,images/8.png,0.0,test,5.0,8.3,0.0
63,price_rating,"[(None, 0.0), (5.5, 0.576), (5.5, 1.07)]",5.5,1.07,images/3.png,10.0,test,5.0,3.5,2.0
64,price_rating,"[(None, 0.0), (8.5, 0.504), (8.5, 0.981)]",8.5,0.981,images/5.png,14.0,test,5.0,,2.0
65,price_rating,"[(None, 0.0), (7.9, 0.556), (7.9, 1.035)]",7.9,1.035,images/9.png,2.0,test,5.0,,0.0
66,price_rating,"[(None, 0.0), (7.4, 0.569), (7.4, 1.079)]",7.4,1.079,images/15.png,4.0,test,5.0,,0.0
67,price_rating,"[(None, 0.0), (6.2, 5.232), (6.2, 5.93)]",6.2,5.93,images/4.png,7.0,test,5.0,,1.0
68,price_rating,"[(None, 0.0), (9.5, 2.578), (9.5, 3.12)]",9.5,3.12,images/14.png,12.0,test,5.0,,2.0
69,price_rating,"[(None, 0.0), (6.8, 0.653), (4.2, 2.09), (4.2, 2.802)]",4.2,2.802,images/7.png,11.0,test,5.0,4.2,2.0
70,price_rating,"[(None, 0.0), (6.9, 0.673), (6.9, 1.91)]",6.9,1.91,images/13.png,13.0,test,5.0,,2.0
71,price_rating,"[(None, 0.0), (6.0, 0.386), (6.0, 0.758)]",6.0,0.758,images/2.png,3.0,test,5.0,,0.0
72,price_rating,"[(None, 0.0), (6.5, 0.384), (6.5, 0.728)]",6.5,0.728,images/6.png,8.0,test,5.0,,1.0
73,price_rating,"[(None, 0.0), (6.6, 0.317), (6.6, 0.673)]",6.6,0.673,images/11.png,9.0,test,5.0,,1.0
74,price_rating,"[(None, 0.0), (6.6, 0.487), (6.0, 1.642), (6.0, 2.133)]",6.0,2.133,images/1.png,5.0,test,5.0,,1.0
75,price_rating,"[(None, 0.0), (6.2, 0.486), (6.2, 0.841)]",6.2,0.841,images/10.png,6.0,test,5.0,,1.0
76,price_rating,"[(None, 0.0), (6.5, 0.468), (6.6, 0.555), (6.6, 0.911)]",6.6,0.911,images/13.png,13.0,test,6.0,,2.0
77,price_rating,"[(None, 0.0), (7.1, 0.382), (7.1, 0.773)]",7.1,0.773,images/3.png,10.0,test,6.0,3.5,2.0
78,price_rating,"[(None, 0.0), (6.5, 0.472), (6.5, 0.829)]",6.5,0.829,images/2.png,3.0,test,6.0,,0.0
79,price_rating,"[(None, 0.0), (7.8, 0.553), (7.8, 1.099)]",7.8,1.099,images/1.png,5.0,test,6.0,,1.0
80,price_rating,"[(None, 0.0), (7.4, 0.421), (7.4, 0.913)]",7.4,0.913,images/4.png,7.0,test,6.0,,1.0
81,price_rating,"[(None, 0.0), (6.1, 0.438), (6.1, 0.796)]",6.1,0.797,images/8.png,0.0,test,6.0,8.3,0.0
82,price_rating,"[(None, 0.0), (6.3, 0.353), (6.3, 0.677)]",6.3,0.677,images/12.png,1.0,test,6.0,7.0,0.0
83,price_rating,"[(None, 0.0), (7.5, 0.386), (7.5, 0.814)]",7.5,0.814,images/11.png,9.0,test,6.0,,1.0
84,price_rating,"[(None, 0.0), (5.0, 0.498), (5.0, 1.024)]",5.0,1.024,images/9.png,2.0,test,6.0,,0.0
85,price_rating,"[(None, 0.0), (6.8, 0.857), (6.8, 1.387)]",6.8,1.387,images/15.png,4.0,test,6.0,,0.0
86,price_rating,"[(None, 0.0), (8.5, 0.519), (8.5, 1.117)]",8.5,1.117,images/10.png,6.0,test,6.0,,1.0
87,price_rating,"[(None, 0.0), (6.9, 0.448), (6.9, 0.858)]",6.9,0.858,images/6.png,8.0,test,6.0,,1.0
88,price_rating,"[(None, 0.0), (4.8, 0.636), (4.8, 1.115)]",4.8,1.115,images/5.png,14.0,test,6.0,,2.0
89,price_rating,"[(None, 0.0), (3.9, 0.94), (3.9, 1.536)]",3.9,1.536,images/14.png,12.0,test,6.0,,2.0
90,price_rating,"[(None, 0.0), (6.5, 0.547), (6.5, 1.006)]",6.5,1.007,images/7.png,11.0,test,6.0,4.2,2.0
91,price_rating,"[(None, 0.0), (6.5, 0.756), (6.5, 1.166)]",6.5,1.166,images/7.png,11.0,test,7.0,4.2,2.0
92,price_rating,"[(None, 0.0), (4.1, 0.602), (4.1, 1.164)]",4.1,1.164,images/6.png,8.0,test,7.0,,1.0
93,price_rating,"[(None, 0.0), (8.3, 1.566), (8.3, 2.058)]",8.3,2.058,images/15.png,4.0,test,7.0,,0.0
94,price_rating,"[(None, 0.0), (6.8, 0.541), (6.8, 0.935)]",6.8,0.935,images/13.png,13.0,test,7.0,,2.0
95,price_rating,"[(None, 0.0), (7.6, 0.486), (7.6, 0.895)]",7.6,0.895,images/3.png,10.0,test,7.0,3.5,2.0
96,price_rating,"[(None, 0.0), (7.4, 44.054), (7.4, 44.58)]",7.4,44.58,images/4.png,7.0,test,7.0,,1.0
97,price_rating,"[(None, 0.0), (6.2, 0.587), (6.2, 1.046)]",6.2,1.046,images/12.png,1.0,test,7.0,7.0,0.0
98,price_rating,"[(None, 0.0), (8.2, 2.121), (8.2, 3.106)]",8.2,3.106,images/8.png,0.0,test,7.0,8.3,0.0
99,price_rating,"[(None, 0.0), (3.6, 1.531), (4.5, 2.412), (4.5, 3.323)]",4.5,3.323,images/9.png,2.0,test,7.0,,0.0
100,price_rating,"[(None, 0.0), (5.8, 0.349), (5.8, 0.876)]",5.8,0.876,images/14.png,12.0,test,7.0,,2.0
101,price_rating,"[(None, 0.0), (6.8, 0.62), (5.9, 1.469), (5.9, 2.007)]",5.9,2.007,images/2.png,3.0,test,7.0,,0.0
102,price_rating,"[(None, 0.0), (6.3, 0.492), (4.6, 2.758), (5.6, 3.486), (5.6, 3.858)]",5.6,3.858,images/11.png,9.0,test,7.0,,1.0
103,price_rating,"[(None, 0.0), (3.5, 2.971), (6.0, 4.01), (6.0, 4.497)]",6.0,4.497,images/10.png,6.0,test,7.0,,1.0
104,price_rating,"[(None, 0.0), (4.4, 1.127), (4.4, 1.853)]",4.4,1.853,images/1.png,5.0,test,7.0,,1.0
105,price_rating,"[(None, 0.0), (6.5, 0.62), (6.5, 1.113)]",6.5,1.113,images/5.png,14.0,test,7.0,,2.0
106,price_rating,"[(None, 0.0), (6.0, 0.603), (6.0, 1.126)]",6.0,1.126,images/11.png,9.0,test,8.0,,1.0
107,price_rating,"[(None, 0.0), (6.5, 0.456), (6.6, 0.561), (6.9, 1.117), (7.0, 1.574), (7.0, 2.404)]",7.0,2.404,images/12.png,1.0,test,8.0,7.0,0.0
108,price_rating,"[(None, 0.0), (3.5, 1.248), (3.5, 1.741)]",3.5,1.741,images/3.png,10.0,test,8.0,3.5,2.0
109,price_rating,"[(None, 0.0), (8.2, 1.622), (8.2, 2.099)]",8.2,2.099,images/8.png,0.0,test,8.0,8.3,0.0
